tieu_de,doan_van,nghia,cau_hoi1,dap_an1,cau_hoi2,dap_an2,cau_hoi3,dap_an3
"Tự giới thiệu — Mike Miller","はじめまして。|わたしは マイク・ミラーです。|アメリカじんです。|IMCの しゃいんです。|どうぞ よろしく おねがいします。","Rất vui được gặp.|Tôi là Mike Miller.|Tôi là người Mỹ.|Tôi là nhân viên của công ty IMC.|Rất mong được giúp đỡ.","ミラーさんは アメリカじんですか。","はい、アメリカじんです。","ミラーさんは がくせいですか。","いいえ、がくせいじゃ ありません。しゃいんです。","ミラーさんは どこの しゃいんですか。","IMCの しゃいんです。"
"Anh Santos","あの ひとは サントスさんです。|サントスさんは ブラジルじんです。|ブラジルの かいしゃいんです。|さんじゅうごさいです。|がくせいじゃ ありません。","Người kia là anh Santos.|Anh Santos là người Brazil.|Anh ấy là nhân viên công ty của Brazil.|Anh ấy 35 tuổi.|Anh ấy không phải là học sinh.","サントスさんは ブラジルじんですか。","はい、ブラジルじんです。","サントスさんは がくせいですか。","いいえ、がくせいじゃ ありません。かいしゃいんです。","サントスさんは なんさいですか。","さんじゅうごさいです。"
"Thầy giáo đại học","わたしは ワットです。|イギリスじんです。|さくらだいがくの せんせいです。|きょうしです。|やまださんは わたしの がくせいです。","Tôi là Watt.|Tôi là người Anh.|Tôi là giáo viên của Đại học Sakura.|Tôi là giáo viên.|Anh Yamada là học sinh của tôi.","ワットさんは イギリスじんですか。","はい、イギリスじんです。","ワットさんは いしゃですか。","いいえ、いしゃじゃ ありません。せんせいです。","やまださんは せんせいですか。","いいえ、せんせいじゃ ありません。がくせいです。"
"Bác sĩ ở bệnh viện","あの かたは やまださんです。|やまださんは にほんじんです。|IMCびょういんの いしゃです。|たなかさんも いしゃです。|わたしは いしゃじゃ ありません。けんきゅうしゃです。","Vị kia là anh Yamada.|Anh Yamada là người Nhật.|Anh ấy là bác sĩ của bệnh viện IMC.|Anh Tanaka cũng là bác sĩ.|Tôi không phải bác sĩ. Tôi là nhà nghiên cứu.","やまださんは にほんじんですか。","はい、にほんじんです。","たなかさんも いしゃですか。","はい、たなかさんも いしゃです。","わたしは いしゃですか。","いいえ、いしゃじゃ ありません。けんきゅうしゃです。"
"Nhân viên ngân hàng","はじめまして。|わたしは キムです。|かんこくじんです。|とうきょうぎんこうの ぎんこういんです。|どうぞ よろしく おねがいします。","Rất vui được gặp.|Tôi là Kim.|Tôi là người Hàn Quốc.|Tôi là nhân viên của Ngân hàng Tokyo.|Rất mong được giúp đỡ.","キムさんは かんこくじんですか。","はい、かんこくじんです。","キムさんは ぎんこういんですか。","はい、とうきょうぎんこうの ぎんこういんです。","キムさんは せんせいですか。","いいえ、せんせいじゃ ありません。"
"Bài dài 1 — Mọi người ở công ty tôi","はじめまして。私[わたし]は マイク・ミラーです。|アメリカ人[じん]です。|IMCの 社員[しゃいん]です。|あの人[ひと]は サントスさんです。|サントスさんも IMCの 社員[しゃいん]です。|サントスさんは ブラジル人[じん]です。|あの方[かた]は 山田[やまだ]さんです。|山田[やまだ]さんは 日本人[にほんじん]です。|山田[やまだ]さんも IMCの 社員[しゃいん]です。|キムさんは 韓国人[かんこくじん]です。|キムさんは IMCの 社員[しゃいん]じゃ ありません。|キムさんは 銀行員[ぎんこういん]です。|どうぞ よろしく お願[ねが]いします。","Rất vui được gặp. Tôi là Mike Miller.|Tôi là người Mỹ.|Tôi là nhân viên của IMC.|Người kia là anh Santos.|Anh Santos cũng là nhân viên IMC.|Anh Santos là người Brazil.|Vị kia là anh Yamada.|Anh Yamada là người Nhật.|Anh Yamada cũng là nhân viên IMC.|Chị Kim là người Hàn Quốc.|Chị Kim không phải nhân viên IMC.|Chị Kim là nhân viên ngân hàng.|Rất mong được giúp đỡ.","","","","","",""
"Bài dài 2 — Trường tiếng Nhật Sakura","ここは さくら日本語[にほんご]学校[がっこう]です。|私[わたし]は この 学校[がっこう]の 学生[がくせい]です。|私[わたし]の 先生[せんせい]は 田中[たなか]先生[せんせい]です。|田中[たなか]先生[せんせい]は 日本人[にほんじん]です。|田中[たなか]先生[せんせい]は 教師[きょうし]です。|あの人[ひと]は ワンさんです。|ワンさんは 中国人[ちゅうごくじん]です。|ワンさんも この 学校[がっこう]の 学生[がくせい]です。|あの方[かた]は ワット先生[せんせい]です。|ワット先生[せんせい]は イギリス人[じん]です。|ワット先生[せんせい]は さくら大学[だいがく]の 先生[せんせい]です。|この 学校[がっこう]の 先生[せんせい]じゃ ありません。","Đây là trường tiếng Nhật Sakura.|Tôi là học sinh của trường này.|Giáo viên của tôi là thầy Tanaka.|Thầy Tanaka là người Nhật.|Thầy Tanaka là giáo viên.|Người kia là anh Wang.|Anh Wang là người Trung Quốc.|Anh Wang cũng là học sinh trường này.|Vị kia là thầy Watt.|Thầy Watt là người Anh.|Thầy Watt là giáo viên của Đại học Sakura.|Thầy ấy không phải giáo viên của trường này.","","","","","",""
"Bài dài 3 — Bệnh viện IMC","ここは IMC病院[びょういん]です。|あの方[かた]は 山田[やまだ]さんです。|山田[やまだ]さんは 医者[いしゃ]です。|日本人[にほんじん]です。|四十五歳[よんじゅうごさい]です。|あの人[ひと]は 田中[たなか]さんです。|田中[たなか]さんも 医者[いしゃ]です。|田中[たなか]さんは 三十歳[さんじゅっさい]です。|キムさんは 医者[いしゃ]じゃ ありません。|キムさんは 研究者[けんきゅうしゃ]です。|韓国人[かんこくじん]です。|キムさんは 二十九歳[にじゅうきゅうさい]です。","Đây là bệnh viện IMC.|Vị kia là anh Yamada.|Anh Yamada là bác sĩ.|Anh ấy là người Nhật.|Anh ấy 45 tuổi.|Người kia là anh Tanaka.|Anh Tanaka cũng là bác sĩ.|Anh Tanaka 30 tuổi.|Chị Kim không phải bác sĩ.|Chị Kim là nhà nghiên cứu.|Chị ấy là người Hàn Quốc.|Chị Kim 29 tuổi.","","","","","",""
"Bài dài 4 — Đại học Sakura","さくら大学[だいがく]は 日本[にほん]の 大学[だいがく]です。|ワットさんは さくら大学[だいがく]の 先生[せんせい]です。|ワットさんは イギリス人[じん]です。|五十歳[ごじゅっさい]です。|あの人[ひと]は 佐藤[さとう]さんです。|佐藤[さとう]さんは 大学[だいがく]の 学生[がくせい]です。|佐藤[さとう]さんは 日本人[にほんじん]です。|二十歳[はたち]です。|あの方[かた]は リーさんです。|リーさんも 学生[がくせい]です。|リーさんは 中国人[ちゅうごくじん]です。|リーさんは 先生[せんせい]じゃ ありません。","Đại học Sakura là trường đại học của Nhật.|Thầy Watt là giáo viên của Đại học Sakura.|Thầy Watt là người Anh.|Thầy ấy 50 tuổi.|Người kia là anh Sato.|Anh Sato là sinh viên của trường đại học.|Anh Sato là người Nhật.|Anh ấy 20 tuổi.|Vị kia là anh Lee.|Anh Lee cũng là sinh viên.|Anh Lee là người Trung Quốc.|Anh Lee không phải giáo viên.","","","","","",""
"Bài dài 5 — Ngân hàng Tokyo","ここは 東京[とうきょう]銀行[ぎんこう]です。|キムさんは 東京[とうきょう]銀行[ぎんこう]の 銀行員[ぎんこういん]です。|韓国人[かんこくじん]です。|あの人[ひと]は 鈴木[すずき]さんです。|鈴木[すずき]さんも 銀行員[ぎんこういん]です。|鈴木[すずき]さんは 日本人[にほんじん]です。|三十五歳[さんじゅうごさい]です。|あの方[かた]は カリナさんです。|カリナさんは 銀行員[ぎんこういん]じゃ ありません。|カリナさんは 学生[がくせい]です。|インドネシア人[じん]です。|二十二歳[にじゅうにさい]です。","Đây là Ngân hàng Tokyo.|Chị Kim là nhân viên của Ngân hàng Tokyo.|Chị ấy là người Hàn Quốc.|Người kia là anh Suzuki.|Anh Suzuki cũng là nhân viên ngân hàng.|Anh Suzuki là người Nhật.|Anh ấy 35 tuổi.|Vị kia là chị Karina.|Chị Karina không phải nhân viên ngân hàng.|Chị Karina là sinh viên.|Chị ấy là người Indonesia.|Chị ấy 22 tuổi.","","","","","",""
