cau,romaji,nghia
わたしは がくせいじゃないです。かいしゃいんです。,Watashi wa gakusei ja nai desu. Kaishain desu.,Tôi không phải là sinh viên. Tôi là nhân viên công ty.
たなかさんは いしゃじゃありません。きょうしです。,Tanaka-san wa isha ja arimasen. Kyoushi desu.,Anh Tanaka không phải là bác sĩ. Anh ấy là giáo viên.
きょうは やすみではありません。,Kyou wa yasumi de wa arimasen.,Hôm nay không phải ngày nghỉ.
これは かんじじゃないです。ひらがなです。,Kore wa kanji ja nai desu. Hiragana desu.,Cái này không phải chữ Hán. Đây là chữ hiragana.
あれは えいごじゃありません。フランスごです。,Are wa eigo ja arimasen. Furansugo desu.,Cái kia không phải tiếng Anh. Đó là tiếng Pháp.
リンさんは ちゅうごくじんじゃありません。ベトナムじんです。,Rin-san wa chuugokujin ja arimasen. Betonamujin desu.,Chị Linh không phải người Trung Quốc. Chị ấy là người Việt Nam.
そちらは ゆうびんきょくじゃないです。ぎんこうです。,Sochira wa yuubinkyoku ja nai desu. Ginkou desu.,Chỗ đó không phải bưu điện. Đó là ngân hàng.
きむらさんは ぎんこういんですか。,Kimura-san wa ginkouin desu ka.,Anh Kimura là nhân viên ngân hàng phải không?
…いいえ、ぎんこういんじゃありません。かいしゃいんです。,"…Iie, ginkouin ja arimasen. Kaishain desu.","…Không, anh ấy không phải nhân viên ngân hàng. Anh ấy là nhân viên công ty."
あしたは やすみですか。,Ashita wa yasumi desu ka.,Ngày mai là ngày nghỉ phải không?
…いいえ、あしたは やすみじゃないです。あさっては やすみです。,"…Iie, ashita wa yasumi ja nai desu. Asatte wa yasumi desu.","…Không, ngày mai không nghỉ. Ngày kia mới nghỉ."
いま なんじですか。,Ima nanji desu ka.,Bây giờ là mấy giờ?
…いま くじです。,…Ima kuji desu.,…Bây giờ là 9 giờ.
…ごぜん じゅうじはんです。,…Gozen juuji han desu.,…10 rưỡi sáng.
…ごご よじ よんじゅっぷんです。,…Gogo yoji yonjuppun desu.,…4 giờ 40 phút chiều.
いま なんじ なんぷんですか。,Ima nanji nanpun desu ka.,Bây giờ là mấy giờ mấy phút?
…にじ さんじゅっぷんです。,…Niji sanjuppun desu.,…2 giờ 30 phút.
ぎんこうは くじから さんじまでです。,Ginkou wa kuji kara sanji made desu.,Ngân hàng làm việc từ 9 giờ đến 3 giờ.
としょかんは なんじから なんじまでですか。,Toshokan wa nanji kara nanji made desu ka.,Thư viện mở cửa từ mấy giờ đến mấy giờ?
…くじから ごじまでです。,…Kuji kara goji made desu.,…Từ 9 giờ đến 5 giờ.
びょういんは ごぜん はちじはんからです。,Byouin wa gozen hachiji han kara desu.,Bệnh viện làm việc từ 8 rưỡi sáng.
ゆうびんきょくは ごご ごじまでです。,Yuubinkyoku wa gogo goji made desu.,Bưu điện mở đến 5 giờ chiều.
しごとは はちじから ごご ろくじまでです。,Shigoto wa hachiji kara gogo rokuji made desu.,Công việc từ 8 giờ đến 6 giờ chiều.
しごとは なんじからですか。,Shigoto wa nanji kara desu ka.,Công việc bắt đầu từ mấy giờ?
…はちじはんからです。,…Hachiji han kara desu.,…Từ 8 rưỡi.
がっこうは あさ しちじから ごご よじまでです。,Gakkou wa asa shichiji kara gogo yoji made desu.,Trường học từ 7 giờ sáng đến 4 giờ chiều.
スーパーは あさ くじから よる じゅういちじまでです。,Suupaa wa asa kuji kara yoru juuichiji made desu.,Siêu thị mở từ 9 giờ sáng đến 11 giờ tối.
レストランは ごご ごじから よる じゅうじはんまでです。,Resutoran wa gogo goji kara yoru juuji han made desu.,Nhà hàng mở từ 5 giờ chiều đến 10 rưỡi tối.
きょうは ろくじ じゅうごふんまでです。,Kyou wa rokuji juugofun made desu.,Hôm nay chỉ đến 6 giờ 15 phút.
にほんごは いちじから にじ さんじゅっぷんまでです。,Nihongo wa ichiji kara niji sanjuppun made desu.,Giờ tiếng Nhật từ 1 giờ đến 2 giờ 30.
