cau,romaji,nghia
わたしは ベトナムじんです。,Watashi wa betonamujin desu.,Tôi là người Việt Nam.
わたしは がくせいです。,Watashi wa gakusei desu.,Tôi là sinh viên.
わたしは かいしゃいんです。,Watashi wa kaishain desu.,Tôi là nhân viên công ty.
リンさんは ベトナムじんですか。,Rin-san wa betonamujin desu ka.,Chị Linh là người Việt Nam phải không?
…はい、そうです。,"…Hai, sou desu.","…Vâng, đúng vậy."
たなかさんは にほんじんですか。,Tanaka-san wa nihonjin desu ka.,Anh Tanaka là người Nhật phải không?
…はい、にほんじんです。,"…Hai, nihonjin desu.","…Vâng, anh ấy là người Nhật."
キムさんは ちゅうごくじんですか。,Kimu-san wa chuugokujin desu ka.,Anh Kim là người Trung Quốc phải không?
…いいえ、かんこくじんです。,"…Iie, kankokujin desu.","…Không, anh ấy là người Hàn Quốc."
やまださんは せんせいです。,Yamada-san wa sensei desu.,Cô Yamada là giáo viên.
わたしは いしゃです。,Watashi wa isha desu.,Tôi là bác sĩ.
そちらは ぎんこういんですか。,Sochira wa ginkouin desu ka.,Vị đó là nhân viên ngân hàng phải không?
…はい、ぎんこういんです。,"…Hai, ginkouin desu.","…Vâng, là nhân viên ngân hàng."
こちらは スーさんです。きょうしです。,Kochira wa Suu-san desu. Kyoushi desu.,Đây là chị Su. Chị ấy là giáo viên.
これは にほんりょうりです。,Kore wa nihonryouri desu.,Cái này là món ăn Nhật Bản.
それは ベトナムりょうりですか。,Sore wa betonamuryouri desu ka.,Cái đó là món ăn Việt Nam phải không?
…はい、ベトナムりょうりです。,"…Hai, betonamuryouri desu.","…Vâng, đó là món ăn Việt Nam."
あれは ビールですか。,Are wa biiru desu ka.,Cái kia là bia phải không?
…いいえ、ジュースです。,"…Iie, juusu desu.","…Không, đó là nước hoa quả."
これは コーヒーです。,Kore wa koohii desu.,Cái này là cà phê.
おはようございます。,Ohayou gozaimasu.,Chào buổi sáng.
こんにちは。はじめまして。,Konnichiwa. Hajimemashite.,Xin chào. Rất vui được gặp anh/ chị.
はじめまして。タンです。よろしく おねがいします。,Hajimemashite. Tan desu. Yoroshiku onegaishimasu.,Rất vui được gặp anh/ chị. Tôi là Tân. Rất mong được anh/ chị giúp đỡ.
おなまえは。,Onamae wa.,Anh/ chị tên là gì?
…リンです。ベトナムじんです。,…Rin desu. Betonamujin desu.,…Tôi là Linh. Tôi là người Việt Nam.
すみません。せんせいですか。,Sumimasen. Sensei desu ka.,"Xin lỗi, anh/ chị là giáo viên phải không?"
…いいえ、がくせいです。,"…Iie, gakusei desu.","…Không, tôi là sinh viên."
あっ、しつれいしました。,"A, shitsurei shimashita.","A, tôi xin lỗi."
…いえいえ、だいじょうぶです。,"…Ieie, daijoubu desu.","…Không sao, không sao đâu."
ええと、わたしは タイじんです。,"Eeto, watashi wa taijin desu.",Ờm... tôi là người Thái.
こんばんは。そうですか。,Konbanwa. Sou desu ka.,Chào buổi tối. Vậy à?
リンさんは ベトナムじんです。わたしも ベトナムじんです。,Rin-san wa betonamujin desu. Watashi mo betonamujin desu.,Chị Linh là người Việt Nam. Tôi cũng là người Việt Nam.
たなかさんは かいしゃいんです。やまださんも かいしゃいんです。,Tanaka-san wa kaishain desu. Yamada-san mo kaishain desu.,Anh Tanaka là nhân viên công ty. Anh Yamada cũng là nhân viên công ty.
キムさんも がくせいですか。,Kimu-san mo gakusei desu ka.,Anh Kim cũng là sinh viên phải không?
…はい、キムさんも がくせいです。,"…Hai, Kimu-san mo gakusei desu.","…Vâng, anh Kim cũng là sinh viên."
これは にほんりょうりです。それも にほんりょうりです。,Kore wa nihonryouri desu. Sore mo nihonryouri desu.,Cái này là món ăn Nhật Bản. Cái đó cũng là món ăn Nhật Bản.
あれも ジュースですか。,Are mo juusu desu ka.,Cái kia cũng là nước hoa quả phải không?
…いいえ、ビールです。,"…Iie, biiru desu.","…Không, đó là bia."
スーさんは きょうしです。わたしも きょうしです。,Suu-san wa kyoushi desu. Watashi mo kyoushi desu.,Chị Su là giáo viên. Tôi cũng là giáo viên.
