tiengNhat,romaji,nghia,kana
私,watashi,tôi,わたし
あなた,anata,anh/chị/bạn,あなた
あの人,anohito,người kia (vị kia) — lịch sự: あの方,あのひと
あの方,anokata,vị kia (lịch sự của あのひと),あのかた
さん,san,"~ (đặt sau tên, lịch sự)",さん
ちゃん,chan,bé ~ (sau tên),ちゃん
じん,jin,người ~ (sau tên nước),じん
先生,sensei,thầy/cô,せんせい
教師,kyoushi,giáo viên,きょうし
学生,gakusei,học sinh,がくせい
会社員,kaishain,nhân viên công ty,かいしゃいん
社員,shain,nhân viên,しゃいん
銀行員,ginkouin,nhân viên ngân hàng,ぎんこういん
医者,isha,bác sĩ,いしゃ
研究者,kenkyuusha,nhà nghiên cứu,けんきゅうしゃ
学校,gakkou,trường học,がっこう
大学,daigaku,đại học,だいがく
病院,byouin,bệnh viện,びょういん
誰,dare,ai? — lịch sự: どなた,だれ
どなた,donata,vị nào? / ai? (lịch sự của だれ),どなた
歳,sai,~ tuổi,さい
何歳,nansai,mấy tuổi? — lịch sự: おいくつ,なんさい
おいくつ,oikutsu,mấy tuổi? (lịch sự của なんさい),おいくつ
はい,hai,"vâng, dạ",はい
いいえ,iie,không,いいえ
はじめまして,hajimemashite,rất vui được gặp anh/chị/bạn,はじめまして
から来ました,kara kimashita,đến từ (nước) ~,からきました
どうぞよろしくお願いします,douzo yoroshiku onegaishimasu,rất vui được làm quen,どうぞよろしくおねがいします
失礼ですが,shitsurei desu ga,xin lỗi… cho tôi hỏi…,しつれいですが
お名前は？,onamae wa,bạn tên gì?,おなまえは
こちらは～さんです,kochira wa ~ san desu,đây là (giới thiệu) anh/chị ~,こちらは～さんです
アメリカ,amerika,Mỹ,アメリカ
イギリス,igirisu,Anh,イギリス
インド,indo,Ấn Độ,インド
インドネシア,indoneshia,Indonesia,インドネシア
韓国,kankoku,Hàn Quốc,かんこく
タイ,tai,Thái Lan,タイ
中国,chuugoku,Trung Quốc,ちゅうごく
ドイツ,doitsu,Đức,ドイツ
日本,nihon,Nhật Bản,にほん
ブラジル,burajiru,Brazil,ブラジル
ベトナム,betonamu,Việt Nam,ベトナム
フランス,furansu,Pháp,フランス
