jp,romaji,vi,kana
私,watashi,tôi,わたし
あなた,anata,anh/chị/bạn,あなた
あのひと,anohito,người kia (vị kia) — lịch sự: あのかた,あのひと
三,san,"~ (đặt sau tên, lịch sự)",さん
ちゃん,chan,bé ~ (sau tên),ちゃん
じん,jin,người ~ (sau tên nước),じん
先生,sensei,thầy/cô,せんせい
きょうし,kyoushi,giáo viên,きょうし
学生,gakusei,học sinh,がくせい
かいしゃいん,kaishain,nhân viên công ty,かいしゃいん
しゃいん,shain,nhân viên,しゃいん
ぎんこういん,ginkouin,nhân viên ngân hàng,ぎんこういん
医者,isha,bác sĩ,いしゃ
けんきゅうしゃ,kenkyuusha,nhà nghiên cứu,けんきゅうしゃ
学校,gakkou,trường học,がっこう
大学,daigaku,đại học,だいがく
病院,byouin,bệnh viện,びょういん
誰,dare,ai? — lịch sự: どなた,だれ
さい,sai,~ tuổi,さい
なんさい,nansai,mấy tuổi? — lịch sự: おいくつ,なんさい
はい,hai,"vâng, dạ",はい
いいえ,iie,không,いいえ
はじめまして,hajimemashite,rất vui được gặp anh/chị/bạn,はじめまして
からきました,kara kimashita,đến từ (nước) ~,からきました
どうぞよろしくおねがいします,douzo yoroshiku onegaishimasu,rất vui được làm quen,どうぞよろしくおねがいします
しつれいですが,shitsurei desu ga,xin lỗi… cho tôi hỏi…,しつれいですが
おなまえは？,onamae wa,bạn tên gì?,おなまえは
こちらはさんです,kochira wa ~ san desu,đây là (giới thiệu) anh/chị ~,こちらはさんです
アメリカ,amerika,Mỹ,あめりか
イギリス,igirisu,Anh,いぎりす
インド,indo,Ấn Độ,いんど
インドネシア,indoneshia,Indonesia,いんどねしあ
かんこく,kankoku,Hàn Quốc,かんこく
タイ,tai,Thái Lan,たい
ちゅうごく,chuugoku,Trung Quốc,ちゅうごく
ドイツ,doitsu,Đức,どいつ
にほん,nihon,Nhật Bản,にほん
ブラジル,burajiru,Brazil,ぶらじる
ベトナム,betonamu,Việt Nam,べとなむ
フランス,furansu,Pháp,ふらんす
