cau,romaji,nghia
これは いくらですか。,Kore wa ikura desu ka.,Cái này bao nhiêu tiền?
…ごひゃくえんです。,…Gohyaku en desu.,…500 yên.
それは いくらですか。,Sore wa ikura desu ka.,Cái đó bao nhiêu tiền?
…せんえんです。,…Sen en desu.,…1000 yên.
でんしじしょは いくらですか。,Denshijisho wa ikura desu ka.,Kim từ điển bao nhiêu tiền?
…にまんえんです。,…Niman en desu.,…20.000 yên.
かばんは いくらですか。,Kaban wa ikura desu ka.,Chiếc cặp bao nhiêu tiền?
…ごじゅうまんドンです。,…Gojuuman don desu.,…50.000 đồng.
これは なんですか。,Kore wa nan desu ka.,Cái này là cái gì?
…じしょです。,…Jisho desu.,…Là quyển từ điển.
それは なんですか。,Sore wa nan desu ka.,Cái đó là cái gì?
…てちょうです。,…Techou desu.,…Là quyển sổ tay.
あれは なんですか。,Are wa nan desu ka.,Cái kia là cái gì?
…でんしじしょです。,…Denshijisho desu.,…Là kim từ điển.
きょうは なんようびですか。,Kyou wa nan'youbi desu ka.,Hôm nay là thứ mấy?
…もくようびです。,…Mokuyoubi desu.,…Thứ Năm.
あしたは なんようびですか。,Ashita wa nan'youbi desu ka.,Ngày mai là thứ mấy?
…きんようびです。,…Kin'youbi desu.,…Thứ Sáu.
きょうは かようびですね。,Kyou wa kayoubi desu ne.,Hôm nay là thứ Ba nhỉ.
…はい、そうですね。,"…Hai, sou desu ne.","…Vâng, đúng vậy nhỉ."
これは たいしかんですね。,Kore wa taishikan desu ne.,Đây là đại sứ quán nhỉ.
…はい、たいしかんです。,"…Hai, taishikan desu.","…Vâng, đây là đại sứ quán."
じしょは せんえんですね。,Jisho wa sen en desu ne.,Quyển từ điển 1000 yên nhỉ.
あれは こうばんですね。,Are wa kouban desu ne.,Cái kia là đồn cảnh sát nhỉ.
しやくしょは ごじまでですよ。,Shiyakusho wa goji made desu yo.,Toà thị chính chỉ mở đến 5 giờ đấy.
あしたは やすみですよ。,Ashita wa yasumi desu yo.,Ngày mai được nghỉ đấy.
きょうは どようびですよね。,Kyou wa doyoubi desu yo ne.,Hôm nay là thứ Bảy đúng không nhỉ?
…はい、どようびです。,"…Hai, doyoubi desu.","…Vâng, thứ Bảy."
にちようび ぎんこうは やすみですよね。,Nichiyoubi ginkou wa yasumi desu yo ne.,Chủ nhật ngân hàng nghỉ đúng không nhỉ?
…はい、やすみです。,"…Hai, yasumi desu.","…Vâng, nghỉ."
リンさんは タイじんですよね。,Rin-san wa taijin desu yo ne.,Chị Linh là người Thái đúng không nhỉ?
…いいえ、ベトナムじんですよ。,"…Iie, betonamujin desu yo.","…Không, chị ấy là người Việt Nam đấy."
これは かんじじゃないですよ。ひらがなですよ。,Kore wa kanji ja nai desu yo. Hiragana desu yo.,Cái này không phải chữ Hán đâu. Là chữ hiragana đấy.
えっ、ほんとうだ。,"E, hontou da.","Ơ, đúng thật."
じゃ、あしたは やすみですね。,"Ja, ashita wa yasumi desu ne.","Vậy thì ngày mai nghỉ nhỉ."
ああ、そうですか。,"Aa, sou desu ka.","À, vậy à."
