p,g,ex,exr,m
① ～は～です,"Câu khẳng định cơ bản. は (đọc là 'wa') là trợ từ đánh dấu CHỦ ĐỀ; です là đuôi khẳng định lịch sự, nghĩa 'là'. Cấu trúc: [Chủ đề]＋は＋[danh từ]＋です.",わたしは ミラーです。,Watashi wa Miraa desu.,Tôi là Miller.
② quốc tịch ～じん,Tên nước ＋ じん = người nước đó (ベトナム＋じん → người Việt). Thường ghép vào mẫu ～は～です: わたしは ベトナムじんです.,わたしは ベトナムじんです。,Watashi wa Betonamu-jin desu.,Tôi là người Việt Nam.
③ ～じゃ ありません,Thể phủ định của です. ～じゃ ありません = 'không phải là ~' (lịch sự/trang trọng hơn: ～では ありません). Cấu trúc: [Chủ đề]＋は＋[danh từ]＋じゃ ありません.,わたしは せんせいじゃ ありません。,Watashi wa sensei ja arimasen.,Tôi không phải giáo viên.
④ ～ですか?,"Tạo câu hỏi bằng cách thêm か vào cuối câu — KHÔNG đổi trật tự từ. Trả lời: はい (vâng) hoặc いいえ (không), rồi nhắc lại bằng thể khẳng định/phủ định.",あなたは がくせいですか。,Anata wa gakusei desu ka.,Bạn là học sinh phải không?
⑤ だれ / どなた,"Từ để hỏi 'ai'. だれ dùng thông thường, どなた lịch sự hơn. Đặt vào đúng vị trí của danh từ cần hỏi: あの かたは どなたですか。",あの かたは どなたですか。,Ano kata wa donata desu ka.,Vị kia là ai vậy?
⑥ ～も,Trợ từ も = 'cũng'. Dùng THAY cho は khi thông tin trùng với câu trước. VD: わたしは かいしゃいんです。リーさんも かいしゃいんです (Lee cũng vậy).,わたしは かいしゃいんです。リーさんも かいしゃいんです。,Watashi wa kaishain desu. Rii-san mo kaishain desu.,Tôi là nhân viên công ty. Anh Lee cũng là nhân viên công ty.
⑦ ～の～ (trực thuộc),"Trợ từ の nối hai danh từ, chỉ sở hữu/trực thuộc: [N1]＋の＋[N2] = 'N2 của N1'. VD: IMCの しゃいん = nhân viên của IMC; だいがくの がくせい = sinh viên của trường đại học.",ミラーさんは IMCの しゃいんです。,Miraa-san wa IMC no shain desu.,Anh Miller là nhân viên của IMC.
⑧ tuổi ～さい,"Đếm tuổi: số ＋ さい. Hỏi tuổi: なんさいですか (lịch sự: おいくつですか). Lưu ý bất quy tắc: 1→いっさい, 8→はっさい, 20→はたち.",テレーザちゃんは きゅうさいです。,Tereeza-chan wa kyuu-sai desu.,Bé Teresa 9 tuổi.
⑨ ～から きました,～から = 'từ ~'; きました = đã đến (thể quá khứ của きます). Dùng để nói nơi xuất thân: [nước/nơi]＋から きました.,わたしは ベトナムから きました。,Watashi wa Betonamu kara kimashita.,Tôi đến từ Việt Nam.
⑩ chào & giới thiệu,Cụm cố định khi làm quen: はじめまして (chào lần đầu) → tên です → どうぞ よろしく おねがいします (mong được giúp đỡ). こちらは～さんです dùng để giới thiệu người khác; しつれいですが mở đầu khi muốn hỏi lịch sự.,はじめまして。,Hajimemashite.,Rất vui được gặp.
⑪ tự giới thiệu (ghép),Ghép nhiều mẫu trên thành đoạn tự giới thiệu hoàn chỉnh: chào → tên → nơi đến từ (～から きました) → nghề/trực thuộc (～の～です) → câu kết よろしく.,はじめまして。わたしは ファムです。ベトナムから きました。さくらだいがくの がくせいです。どうぞ よろしく おねがいします。,Hajimemashite. Watashi wa Famu desu. Betonamu kara kimashita. Sakura-daigaku no gakusei desu. Douzo yoroshiku onegaishimasu.,Rất vui được gặp. Tôi là Phạm. Tôi đến từ Việt Nam. Tôi là sinh viên đại học Sakura. Rất mong được giúp đỡ.
